"Codi municipi","Municipi","Codi Districte BCN","Nom Districte BCN","Codi Àrea Territorial","Àrea Territorial","Codi comarca","Comarca","Disp Canvi Cicle Lliurats","Disp Alta Complexitat Lliurats","Disp Altres Lliurats","Mifi Canvi Cicle Lliurats","Mifi Alta Complexitat Lliurats","Mifi Altres Lliurats","Disp total lliurats","Mifi total lliurats"
"171609","Sant Feliu de Guíxols",,,"0117","Girona","10","Baix Empordà","74","0","55","38","0","46","129","84"
"171616","Sant Feliu de Pallerols",,,"0117","Girona","19","Garrotxa","0","0","5","0","0","4","5","4"
"171637","Sant Gregori",,,"0117","Girona","20","Gironès","0","0","2","0","0","2","2","2"
"171642","Sant Hilari Sacalm",,,"0117","Girona","34","Selva","4","0","24","4","0","11","28","15"
"171655","Sant Jaume de Llierca",,,"0117","Girona","19","Garrotxa","2","0","4","1","0","0","6","1"
"171668","Sant Jordi Desvalls",,,"0117","Girona","20","Gironès","0","0","0","0","0","0","0","0"
"171674","Sant Joan de les Abadesses",,,"0117","Girona","31","Ripollès","2","0","14","2","0","14","16","16"
"171693","Sant Julià de Ramis",,,"0117","Girona","20","Gironès","2","0","8","0","0","2","10","2"
"171753","Sant Miquel de Fluvià",,,"0117","Girona","02","Alt Empordà","1","1","0","1","1","0","2","2"
"171788","Sant Pere Pescador",,,"0117","Girona","02","Alt Empordà","7","0","0","7","0","0","7","7"
"171805","Santa Coloma de Farners",,,"0117","Girona","34","Selva","15","0","27","8","0","19","42","27"
"171812","Santa Cristina d'Aro",,,"0117","Girona","10","Baix Empordà","2","0","5","2","0","5","7","7"
"171864","Sarrià de Ter",,,"0117","Girona","20","Gironès","2","0","15","0","0","3","17","3"
"171870","Saus, Camallera i Llampaies",,,"0117","Girona","02","Alt Empordà","0","0","3","0","0","3","3","3"
"171899","La Cellera de Ter",,,"0117","Girona","34","Selva","0","0","6","0","0","6","6","6"
"171903","Serinyà",,,"0117","Girona","28","Pla de l'Estany","0","0","0","0","0","0","0","0"
"171931","Sils",,,"0117","Girona","34","Selva","19","0","25","17","0","25","44","42"
"171997","Torroella de Montgrí",,,"0117","Girona","10","Baix Empordà","13","48","19","10","48","13","80","71"
"172023","Tossa de Mar",,,"0117","Girona","34","Selva","3","0","24","3","0","19","27","22"
"172044","Ullà",,,"0117","Girona","10","Baix Empordà","2","0","0","2","0","0","2","2"
"172076","La Vall d'en Bas",,,"0117","Girona","19","Garrotxa","1","0","5","0","0","0","6","0"
"172109","Ventalló",,,"0117","Girona","02","Alt Empordà","0","0","3","0","0","3","3","3"
"172116","Verges",,,"0117","Girona","10","Baix Empordà","1","0","13","0","0","5","14","5"
"172137","Vidreres",,,"0117","Girona","34","Selva","24","0","11","17","0","10","35","27"
"172155","Vilablareix",,,"0117","Girona","20","Gironès","4","0","11","4","0","5","15","9"
"172180","Vilademuls",,,"0117","Girona","28","Pla de l'Estany","1","0","1","0","0","0","2","0"
"172214","Vilafant",,,"0117","Girona","02","Alt Empordà","8","0","11","7","0","11","19","18"
"172253","Vilamacolum",,,"0117","Girona","02","Alt Empordà","0","0","1","0","0","1","1","1"
"172266","Vilamalla",,,"0117","Girona","02","Alt Empordà","1","0","0","1","0","0","1","1"
"172333","Vilobí d'Onyar",,,"0117","Girona","34","Selva","3","0","16","1","0","13","19","14"
"179011","Cruïlles, Monells i Sant Sadurní l'Heura",,,"0117","Girona","10","Baix Empordà","0","0","2","0","0","2","2","2"
"179026","Forallac",,,"0117","Girona","10","Baix Empordà","0","0","3","0","0","3","3","3"
"179032","Sant Julià del Llor i Bonmatí",,,"0117","Girona","34","Selva","2","0","5","2","0","5","7","7"
"250024","Àger",,,"0125","Lleida","23","Noguera","1","0","0","0","0","0","1","0"
"250030","Agramunt",,,"0125","Lleida","38","Urgell","13","0","22","13","0","22","35","35"
"250045","Els Alamús",,,"0125","Lleida","33","Segrià","0","0","2","0","0","1","2","1"
"250058","Alàs i Cerc",,,"0125","Lleida","04","Alt Urgell","0","0","2","0","0","2","2","2"
"250061","L'Albagés",,,"0125","Lleida","18","Garrigues","0","0","4","0","0","0","4","0"
"250077","Albatàrrec",,,"0125","Lleida","33","Segrià","2","0","4","1","0","4","6","5"
"250083","Albesa",,,"0125","Lleida","23","Noguera","4","0","7","0","0","4","11","4"
"250096","L'Albi",,,"0125","Lleida","18","Garrigues","2","0","0","1","0","0","2","1"
"250117","Alcarràs",,,"0125","Lleida","33","Segrià","29","1","12","27","1","12","42","40"
"250122","Alcoletge",,,"0125","Lleida","33","Segrià","6","0","19","3","0","19","25","22"
"250138","Alfarràs",,,"0125","Lleida","33","Segrià","4","0","0","2","0","0","4","2"
"250169","Alguaire",,,"0125","Lleida","33","Segrià","2","0","0","2","0","0","2","2"
"250194","Almacelles",,,"0125","Lleida","33","Segrià","14","0","37","12","0","33","51","45"
"250215","Almenar",,,"0125","Lleida","33","Segrià","6","0","22","5","0","18","28","23"
"250236","Alpicat",,,"0125","Lleida","33","Segrià","7","0","7","7","0","6","14","13"
"250273","Anglesola",,,"0125","Lleida","38","Urgell","5","0","6","5","0","6","11","11"
"250292","Arbeca",,,"0125","Lleida","18","Garrigues","2","0","8","1","0","1","10","2"
"250334","Artesa de Lleida",,,"0125","Lleida","33","Segrià","1","0","6","1","0","4","7","5"
"250349","Artesa de Segre",,,"0125","Lleida","23","Noguera","19","0","8","18","0","8","27","26"
"250352","La Sentiu de Sió",,,"0125","Lleida","23","Noguera","0","0","0","0","0","0","0","0"
"250387","Aitona",,,"0125","Lleida","33","Segrià","8","0","0","7","0","0","8","7"
"250404","Balaguer",,,"0125","Lleida","23","Noguera","71","12","103","53","12","89","186","154"
"250411","Barbens",,,"0125","Lleida","27","Pla d'Urgell","0","0","2","0","0","2","2","2"
"250463","Belianes",,,"0125","Lleida","38","Urgell","0","0","3","0","0","1","3","1"
"250479","Bellcaire d'Urgell",,,"0125","Lleida","23","Noguera","6","0","14","2","0","7","20","9"
"250498","Bellmunt d'Urgell",,,"0125","Lleida","23","Noguera","1","0","2","1","0","1","3","2"
"250501","Bellpuig",,,"0125","Lleida","38","Urgell","6","0","0","6","0","0","6","6"
"250518","Bellver de Cerdanya",,,"0125","Lleida","15","Cerdanya","1","0","0","1","0","0","1","1"
"250523","Bellvís",,,"0125","Lleida","27","Pla d'Urgell","1","0","3","1","0","3","4","4"
"250582","Les Borges Blanques",,,"0125","Lleida","18","Garrigues","10","0","17","8","0","13","27","21"
"250595","Bossòst",,,"0125","Lleida","39","Val d'Aran","0","0","2","0","0","1","2","1"
"250674","Castelldans",,,"0125","Lleida","18","Garrigues","0","0","6","0","0","4","6","4"
"250680","Castellnou de Seana",,,"0125","Lleida","27","Pla d'Urgell","1","0","2","1","0","2","3","3"
"250693","Castelló de Farfanya",,,"0125","Lleida","23","Noguera","1","0","1","1","0","1","2","2"
"250707","Castellserà",,,"0125","Lleida","38","Urgell","0","0","12","0","0","7","12","7"
"250729","Cervera",,,"0125","Lleida","32","Segarra","31","0","12","22","0","6","43","28"
"250735","Cervià de les Garrigues",,,"0125","Lleida","18","Garrigues","3","0","2","2","0","2","5","4"
"250772","Coll de Nargó",,,"0125","Lleida","04","Alt Urgell","2","0","1","2","0","0","3","2"
"250788","Corbins",,,"0125","Lleida","33","Segrià","2","0","3","1","0","1","5","2"
"250791","Cubells",,,"0125","Lleida","23","Noguera","0","0","1","0","0","1","1","1"
"250864","Esterri d'Àneu",,,"0125","Lleida","26","Pallars Sobirà","4","0","0","4","0","0","4","4"
"250962","La Fuliola",,,"0125","Lleida","38","Urgell","5","0","1","4","0","1","6","5"
"250997","Golmés",,,"0125","Lleida","27","Pla d'Urgell","4","0","0","2","0","0","4","2"
"251018","La Granadella",,,"0125","Lleida","18","Garrigues","1","0","1","0","0","1","2","1"
"251023","La Granja d'Escarp",,,"0125","Lleida","33","Segrià","3","0","2","1","0","2","5","3"
"251109","Guissona",,,"0125","Lleida","32","Segarra","5","0","10","1","0","21","15","22"
"251121","Ivars de Noguera",,,"0125","Lleida","23","Noguera","0","0","3","0","0","3","3","3"
"251137","Ivars d'Urgell",,,"0125","Lleida","27","Pla d'Urgell","0","0","7","0","0","1","7","1"
"251155","Isona i Conca Dellà",,,"0125","Lleida","25","Pallars Jussà","2","0","1","2","0","1","3","3"
