SSTT;Comarca;Municipi;Districte codi;Naturalesa;Concert;Estudis codi;Nivell;Avaluats;Sexe;N Avaluats
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;2;PROMOCIÓ AMB PENDENTS;HOME;8
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;3;HAN DE REPETIR;DONA;3
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;3;HAN DE REPETIR;HOME;9
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;15
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;13
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;4
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;3;PROMOCIÓ AMB PENDENTS;DONA;4
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;3;PROMOCIÓ AMB PENDENTS;HOME;9
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;4;EXPEDICIÓ DEL CERTIFICAT;DONA;1
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;4;EXPEDICIÓ DEL CERTIFICAT;HOME;1
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;4;HAN DE REPETIR;HOME;1
