Comarca codi,Comarca,SSTT codi,SSTT,Municipi codi,Municipi,Districte codi,Naturalesa,Estudis,Nivell,Sexe,Promo/gradua sense pendents juny,'Avaluats',N Avaluats estudi
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,2
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,2
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,8
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,1
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,2
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,9
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,1
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,1
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,12
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,1
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,10
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,2
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Certificats sense graduar (4rt ESO),Certificats sense graduar (4rt ESO),1
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,9
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,2
02,ALT EMPORDÀ,0117,GIRONA,17047,CASTELLÓ D'EMPÚRIES,1704700,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,20
02,ALT EMPORDÀ,0117,GIRONA,17047,CASTELLÓ D'EMPÚRIES,1704700,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,37
02,ALT EMPORDÀ,0117,GIRONA,17047,CASTELLÓ D'EMPÚRIES,1704700,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,5
02,ALT EMPORDÀ,0117,GIRONA,17047,CASTELLÓ D'EMPÚRIES,1704700,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Repeteixen,Repeteixen,3
02,ALT EMPORDÀ,0117,GIRONA,17047,CASTELLÓ D'EMPÚRIES,1704700,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,21
02,ALT EMPORDÀ,0117,GIRONA,17047,CASTELLÓ D'EMPÚRIES,1704700,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,26
02,ALT EMPORDÀ,0117,GIRONA,17047,CASTELLÓ D'EMPÚRIES,1704700,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,4
02,ALT EMPORDÀ,0117,GIRONA,17047,CASTELLÓ D'EMPÚRIES,1704700,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Repeteixen,Repeteixen,10
02,ALT EMPORDÀ,0117,GIRONA,17047,CASTELLÓ D'EMPÚRIES,1704700,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,14
