Àrea teritorial codi,Àrea territorial,Comarca codi,Comarca,Municipi codi,Municipi,Districte codi,Naturalesa,Titularitat,Estudis,Curs,Sexe,Concert,Resultat de l'avaluació,Nombre d'avaluats
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,SI,Promocionen al mes de juny,59
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,SI,Promocionen al mes de setembre,2
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,SI,Promocionen amb pendents,15
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,SI,Alumnes avaluats,77
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,SI,No promocionen,11
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,SI,Promocionen al mes de juny,42
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,SI,Promocionen al mes de setembre,2
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,SI,Promocionen amb pendents,22
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,DONA,SI,Alumnes avaluats,81
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,DONA,SI,No promocionen,2
